site,datetime,variable,values
Archery,2019-10-06T00:00:00Z,depth_ft,3.164050582142313
Archery,2019-10-06T00:00:00Z,dissolved_oxygen_pct,74.39217076505157
Archery,2019-10-06T00:00:00Z,do_mg,7.857474489641539
Archery,2019-10-06T00:00:00Z,orp,167.20780964263753
Archery,2019-10-06T00:00:00Z,ph,8.391502960138094
Archery,2019-10-06T00:00:00Z,turbidity,4.171662110909682
Archery,2019-10-06T00:15:00Z,depth_ft,3.1527477148832683
Archery,2019-10-06T00:15:00Z,dissolved_oxygen_pct,73.56392499607935
Archery,2019-10-06T00:15:00Z,do_mg,7.779193897806046
Archery,2019-10-06T00:15:00Z,orp,167.81446656224435
Archery,2019-10-06T00:15:00Z,ph,8.373158055218534
Archery,2019-10-06T00:15:00Z,turbidity,4.734534878309977
Archery,2019-10-06T00:30:00Z,depth_ft,3.1446532266161826
Archery,2019-10-06T00:30:00Z,dissolved_oxygen_pct,72.85939183523153
Archery,2019-10-06T00:30:00Z,do_mg,7.714136663682973
Archery,2019-10-06T00:30:00Z,orp,167.82932396285491
Archery,2019-10-06T00:30:00Z,ph,8.356275413168508
Archery,2019-10-06T00:30:00Z,turbidity,5.4585171822292065
Archery,2019-10-06T00:45:00Z,depth_ft,3.1404065610625818
Archery,2019-10-06T00:45:00Z,dissolved_oxygen_pct,72.28656155979303
Archery,2019-10-06T00:45:00Z,do_mg,7.661657456401579
Archery,2019-10-06T00:45:00Z,orp,167.30729692322126
Archery,2019-10-06T00:45:00Z,ph,8.341040850105902
Archery,2019-10-06T00:45:00Z,turbidity,5.6930993417710605
Archery,2019-10-06T01:00:00Z,depth_ft,3.140123741167176
Archery,2019-10-06T01:00:00Z,dissolved_oxygen_pct,71.7870352023508
Archery,2019-10-06T01:00:00Z,do_mg,7.615429861725023
Archery,2019-10-06T01:00:00Z,orp,166.89188973372296
Archery,2019-10-06T01:00:00Z,ph,8.326281057889057
Archery,2019-10-06T01:00:00Z,turbidity,5.5446642999744
Archery,2019-10-06T01:15:00Z,depth_ft,3.1420992156278853
Archery,2019-10-06T01:15:00Z,dissolved_oxygen_pct,71.30827216542593
Archery,2019-10-06T01:15:00Z,do_mg,7.570474245090065
Archery,2019-10-06T01:15:00Z,orp,167.05963572747729
Archery,2019-10-06T01:15:00Z,ph,8.30977755153026
Archery,2019-10-06T01:15:00Z,turbidity,5.646049814115203
Archery,2019-10-06T01:30:00Z,depth_ft,3.1436228117701575
Archery,2019-10-06T01:30:00Z,dissolved_oxygen_pct,70.85486487136436
Archery,2019-10-06T01:30:00Z,do_mg,7.527105610740148
Archery,2019-10-06T01:30:00Z,orp,167.69452211704257
Archery,2019-10-06T01:30:00Z,ph,8.290657124732872
Archery,2019-10-06T01:30:00Z,turbidity,6.163774316760439
Archery,2019-10-06T01:45:00Z,depth_ft,3.1429871145494612
Archery,2019-10-06T01:45:00Z,dissolved_oxygen_pct,70.45788568353993
Archery,2019-10-06T01:45:00Z,do_mg,7.488610584946577
Archery,2019-10-06T01:45:00Z,orp,168.54140663436468
Archery,2019-10-06T01:45:00Z,ph,8.269496025102706
Archery,2019-10-06T01:45:00Z,turbidity,6.57960534708921
Archery,2019-10-06T02:00:00Z,depth_ft,3.140415644759268
Archery,2019-10-06T02:00:00Z,dissolved_oxygen_pct,70.12848068615381
Archery,2019-10-06T02:00:00Z,do_mg,7.457007929951342
Archery,2019-10-06T02:00:00Z,orp,169.60231312191596
Archery,2019-10-06T02:00:00Z,ph,8.247451638939198
Archery,2019-10-06T02:00:00Z,turbidity,6.417786315317086
Archery,2019-10-06T02:15:00Z,depth_ft,3.1369011579493975
Archery,2019-10-06T02:15:00Z,dissolved_oxygen_pct,69.85311951739264
Archery,2019-10-06T02:15:00Z,do_mg,7.4310255754432415
Archery,2019-10-06T02:15:00Z,orp,170.92579723100204
Archery,2019-10-06T02:15:00Z,ph,8.226194341604128
Archery,2019-10-06T02:15:00Z,turbidity,5.8083121259976185
Archery,2019-10-06T02:30:00Z,depth_ft,3.133525791650488
Archery,2019-10-06T02:30:00Z,dissolved_oxygen_pct,69.61046765469706
Archery,2019-10-06T02:30:00Z,do_mg,7.407682522799214
Archery,2019-10-06T02:30:00Z,orp,172.37265152063512
Archery,2019-10-06T02:30:00Z,ph,8.20684221509381
Archery,2019-10-06T02:30:00Z,turbidity,5.242843705214899
Archery,2019-10-06T02:45:00Z,depth_ft,3.1312185342452974
Archery,2019-10-06T02:45:00Z,dissolved_oxygen_pct,69.38003190282696
Archery,2019-10-06T02:45:00Z,do_mg,7.385245411195756
Archery,2019-10-06T02:45:00Z,orp,173.71369683578666
Archery,2019-10-06T02:45:00Z,ph,8.189078258178156
Archery,2019-10-06T02:45:00Z,turbidity,4.986537962627429
Archery,2019-10-06T03:00:00Z,depth_ft,3.129412620340777
Archery,2019-10-06T03:00:00Z,dissolved_oxygen_pct,69.15779793036657
Archery,2019-10-06T03:00:00Z,do_mg,7.3649640904981615
Archery,2019-10-06T03:00:00Z,orp,174.83415876799705
